MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
May-15,449,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,450,Information Architect  ,Operations ,Wisdom
May-15,451,Information Architect  ,Science & Policy,Wisdom
May-15,452,Information Architect  ,Operations ,Wisdom
May-15,453,Information Architect  ,Operations ,Wisdom
May-15,454,Information Architect  ,Science & Policy,Wisdom
May-15,455,Information Architect  ,Regulatory & Legal Strategy,Wisdom
May-15,456,Information Architect  ,Operations ,Wisdom
May-15,457,Information Governance EO,Operations ,Email
May-15,458,Information Management  Team Leader,Operations ,Wisdom
May-15,459,Information Architect  ,Operations ,Wisdom
May-15,460,Information Architect  ,Operations ,Wisdom
May-15,461,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,462,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,463,Information Management  Team Leader,Wales,Wisdom
May-15,464,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,465,Information Management  Team Leader,Operations ,Wisdom
May-15,466,Information Architect  ,Science & Policy,Wisdom
May-15,467,Information Governance Manager,Operations ,Data Sharing
May-15,468,Information Governance Manager,Science & Policy,Data Sharing
May-15,469,Information Architect  ,Science & Policy,Wisdom
May-15,470,Information Architect  ,Northern Ireland,Wisdom
May-15,471,Information Management  Team Leader,Operations ,Wisdom
May-15,472,Information Governance EO,External - Other Government Dept,Information Asset Register
May-15,473,Information Architect  ,Operations ,Wisdom
May-15,474,Information Architect  ,Science & Policy,Wisdom
May-15,475,Information Governance Caseworker ,Operations ,Data Sharing
May-15,476,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,477,Information Management  Team Leader,Science & Policy,Wisdom
May-15,478,Information Governance EO,Human Resources,Offsite Storage Issues
May-15,479,Information Governance EO,External - FSA Contractor,Email
May-15,480,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
May-15,481,Information Management  Team Leader,External - FSA Contractor,Wisdom
May-15,482,Information Management  Team Leader,Wales,Wisdom
May-15,483,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,484,Information Governance Manager,Operations ,Data Sharing
May-15,485,Information Governance Caseworker ,Human Resources,Data Protection Advice
May-15,486,Information Management  Team Leader,Science & Policy,Wisdom
May-15,487,Information Management  Team Leader,Operations ,Email
May-15,488,Information Management  Team Leader,Science & Policy,Wisdom
May-15,489,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,490,Information Management  Team Leader,Operations ,Wisdom
May-15,491,Information Governance EO,External - FSA Contractor,Records Mgmt Advice
May-15,492,Information Management  Team Leader,Private Office,Wisdom
May-15,493,Information Architect  ,Operations ,Wisdom
May-15,494,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,495,Information Management  Team Leader,Science & Policy,Wisdom
May-15,496,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
May-15,497,Information Management  Team Leader,Science & Policy,Wisdom
May-15,498,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jun-15,499,Information Architect  ,Communications,Wisdom
Jun-15,500,Information Architect  ,Science & Policy,Wisdom
May-15,501,Information Architect  ,Human Resources,Wisdom
May-15,502,Information Management  Team Leader,Science & Policy,Wisdom
Jun-15,503,Information Management  Team Leader,Operations ,Email
Jun-15,504,Information Management  Team Leader,Science & Policy,Wisdom
May-15,505,Information Management  Team Leader,Operations ,Wisdom
Jun-15,506,Information Architect  ,Finance & Strategic Planning,Wisdom
May-15,507,Information Governance EO,Operations ,Wisdom
Jun-15,508,Information Architect  ,Wales,Wisdom
Jun-15,509,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,510,Information Architect  ,Human Resources,Wisdom
Jun-15,511,Information Architect  ,Operations ,Wisdom
May-15,512,Information Management  Team Leader,Finance & Strategic Planning,Email
Jun-15,513,Information Architect  ,Communications,Wisdom
Jun-15,514,Information Architect  ,Operations ,Wisdom
Jun-15,515,Information Architect  ,Science & Policy,Wisdom
Jun-15,516,Information Governance EO,Operations ,Email
Jun-15,517,Information Governance EO,Operations ,Email
Jun-15,518,Information Governance EO,Operations ,Email
Jun-15,519,Information Architect  ,Operations ,Wisdom
Jun-15,520,Information Management  Team Leader,Finance & Strategic Planning,Non IKM Queries
May-15,521,Information Management  Team Leader,External - FSA Contractor,Wisdom
Jun-15,522,Information Architect  ,Science & Policy,Wisdom
Jun-15,523,Information Architect  ,Operations ,Wisdom
Jun-15,524,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jun-15,525,Information Management  Team Leader,Operations ,Wisdom
Jun-15,526,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,527,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jun-15,528,Information Architect  ,Northern Ireland,Wisdom
Jun-15,529,Information Architect  ,Northern Ireland,Wisdom
Jun-15,530,Information Management  Team Leader,Finance & Strategic Planning,Email
Jun-15,531,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Jun-15,532,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Jun-15,533,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,534,Information Architect  ,Science & Policy,Wisdom
Jun-15,535,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,536,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,537,Information Governance Caseworker ,Operations ,Data Sharing
Jun-15,538,Information Governance Caseworker ,Science & Policy,Data Protection Advice
Jun-15,539,Information Architect  ,Science & Policy,Wisdom
Jun-15,540,Information Governance EO,Science & Policy,Information Asset Register
Jun-15,541,Information Governance Caseworker ,Operations ,Data Sharing
Jun-15,542,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,543,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jun-15,544,Information Architect  ,Operations ,Wisdom
Jun-15,545,Information Architect  ,Science & Policy,Wisdom
Jun-15,546,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,547,Information Architect  ,Science & Policy,Wisdom
Jun-15,548,Information Architect  ,Operations ,Wisdom
Jun-15,549,Information Architect  ,Operations ,Wisdom
Jun-15,550,Information Architect  ,Northern Ireland,Wisdom
Jun-15,551,Information Architect  ,Northern Ireland,Wisdom
Jun-15,552,Information Governance Caseworker ,Finance & Strategic Planning,Data Protection Advice
Jun-15,553,Information Architect  ,Wales,Wisdom
Jun-15,554,Information Architect  ,Operations ,Wisdom
Jun-15,555,Information Architect  ,Science & Policy,FEDS
Jun-15,556,Information Management  Team Leader,Operations ,Wisdom
Jun-15,557,Information Governance EO,Operations ,Email
Jun-15,558,Information Management  Team Leader,Operations ,Wisdom
Jun-15,559,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,560,Information Architect  ,Wales,Wisdom
Jun-15,561,Information Management  Team Leader,Regulatory & Legal Strategy,Wisdom
Jun-15,562,Information Management  Team Leader,Operations ,Wisdom
Jun-15,563,Information Architect  ,Science & Policy,Wisdom
Jun-15,564,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,565,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,566,Information Governance Caseworker ,Science & Policy,Data Protection Advice
Jun-15,567,Information Architect  ,Science & Policy,Wisdom
Jun-15,568,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,569,Information Architect  ,Science & Policy,Wisdom
Jun-15,570,Information Architect  ,Operations ,Network Drives
Jun-15,571,Information Architect  ,Operations ,Network Drives
Jun-15,572,Information Governance Caseworker ,Science & Policy,Email
Jun-15,573,Information Architect  ,Communications,Wisdom
Jun-15,574,Information Architect  ,Private Office,Wisdom
Jun-15,575,Information Architect  ,Operations ,Wisdom
Jun-15,576,Information Architect  ,Wales,Wisdom
Jun-15,577,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jun-15,578,Information Architect  ,Operations ,Wisdom
Jun-15,579,Information Architect  ,Finance & Strategic Planning,Wisdom
Jun-15,580,Information Architect  ,Science & Policy,Wisdom
Jun-15,581,Information Architect  ,Science & Policy,Wisdom
Jun-15,582,Information Architect  ,Science & Policy,Wisdom
Jun-15,583,Information Architect  ,Operations ,Network Drives
Jun-15,584,Information Management  Team Leader,Science & Policy,Wisdom
Jun-15,585,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Jun-15,586,Information Governance Caseworker ,Operations ,Non IKM Queries
Jun-15,587,Information Architect  ,Operations ,Wisdom
Jun-15,588,Information Governance Caseworker ,Private Office,Data Protection Advice
Jun-15,589,Information Architect  ,Finance & Strategic Planning,Freedom of Information
Jun-15,590,Information Architect  ,Science & Policy,Wisdom
Jun-15,591,Information Architect  ,Wales,Wisdom
Jun-15,592,Information Architect  ,Science & Policy,Wisdom
Jun-15,593,Information Management  Team Leader,Finance & Strategic Planning,Email
Jun-15,594,Information Governance Caseworker ,Science & Policy,Data Sharing
Jun-15,595,Information Architect  ,External - FSA Contractor,Network Drives
Jun-15,596,Information Architect  ,Private Office,Wisdom
Jun-15,597,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jun-15,598,Information Architect  ,Science & Policy,Wisdom
Jun-15,599,Information Architect  ,Science & Policy,Information Asset Register
Jun-15,600,Information Architect  ,Science & Policy,Wisdom
Jun-15,601,Information Architect  ,Communications,Wisdom
Jul-15,602,Information Architect  ,Wales,Wisdom
Jul-15,603,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,604,Information Architect  ,Operations ,Wisdom
Jul-15,605,Information Architect  ,Northern Ireland,Wisdom
Jul-15,606,Information Architect  ,Science & Policy,Wisdom
Jul-15,607,Information Architect  ,Operations ,Wisdom
Jul-15,608,Information Architect  ,Operations ,Wisdom
Jul-15,609,Information Management  Team Leader,Finance & Strategic Planning,Email
Jul-15,610,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,611,Information Governance Caseworker ,Communications,Data Protection Advice
Jul-15,612,Information Governance Caseworker ,Operations ,Data Protection Advice
Jul-15,613,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,614,Information Architect  ,Communications,Wisdom
Jul-15,615,Information Architect  ,Operations ,Wisdom
Jul-15,616,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,617,Information Architect  ,Operations ,Wisdom
Jul-15,618,Information Architect  ,Science & Policy,Wisdom
Jul-15,619,Information Architect  ,Operations ,Wisdom
Jul-15,620,Information Architect  ,Science & Policy,Wisdom
Jul-15,621,Information Architect  ,Science & Policy,Wisdom
Jul-15,622,Information Architect  ,Communications,Wisdom
Jul-15,623,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,624,Information Architect  ,Science & Policy,Wisdom
Jul-15,625,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,626,Information Architect  ,Science & Policy,Wisdom
Jul-15,627,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,628,Information Governance Caseworker ,Operations ,Data Sharing
Jul-15,629,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jul-15,630,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,631,Information Architect  ,Science & Policy,Wisdom
Jul-15,632,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,633,Information Architect  ,Finance & Strategic Planning,Network Drives
Jul-15,634,Information Governance Caseworker ,External - FSA Contractor,Data Sharing
Jul-15,635,Information Architect  ,Operations ,Wisdom
Jul-15,636,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,637,Information Architect  ,External - FSA Contractor,Network Drives
Jul-15,638,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,639,Information Architect  ,Northern Ireland,Wisdom
Jul-15,640,Information Architect  ,Human Resources,Wisdom
Jul-15,641,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Jul-15,642,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,643,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,644,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,645,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,646,Information Architect  ,Operations ,Wisdom
Jul-15,647,Information Architect  ,Science & Policy,Wisdom
Jul-15,648,Information Architect  ,Finance & Strategic Planning,Wisdom
Jul-15,649,Information Governance Caseworker ,Communications,Data Protection Advice
Jul-15,650,Information Architect  ,Communications,Wisdom
Jul-15,651,Information Architect  ,Operations ,Wisdom
Jul-15,652,Information Governance Caseworker ,Operations ,Data Protection Advice
Jul-15,653,Information Architect  ,Science & Policy,Wisdom
Jul-15,654,Information Architect  ,Science & Policy,Wisdom
Jul-15,655,Information Architect  ,Wales,Wisdom
Jul-15,656,Information Architect  ,Finance & Strategic Planning,wisdom
Jul-15,657,Information Governance Caseworker ,Finance & Strategic Planning,Data Protection Advice
Aug-15,658,Information Architect  ,Operations ,Wisdom
Aug-15,659,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,660,Information Architect  ,Private Office,Email
Aug-15,661,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Aug-15,662,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,663,Information Architect  ,Human Resources,Wisdom
Aug-15,664,Information Management  Team Leader,Science & Policy,Wisdom
Aug-15,665,Information Architect  ,Northern Ireland,Email
Aug-15,666,Information Architect  ,Science & Policy,Offsite Storage Issues
Aug-15,667,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,668,Information Architect  ,Wales,Wisdom
Aug-15,669,Information Architect  ,Operations ,Wisdom
Aug-15,670,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,671,Information Architect  ,Northern Ireland,Wisdom
Aug-15,672,Information Governance Caseworker ,Science & Policy,Data Sharing
Aug-15,673,Information Architect  ,Science & Policy,Wisdom
Aug-15,674,Information Architect  ,Human Resources,Wisdom
Aug-15,675,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,676,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,677,Information Architect  ,Operations ,Wisdom
Aug-15,678,Information Management  Team Leader,Private Office,Data Protection Advice
Aug-15,679,Information Architect  ,Operations ,Email
Aug-15,680,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,681,Information Management  Team Leader,Science & Policy,Data Protection Advice
Aug-15,682,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,683,Information Architect  ,Science & Policy,Wisdom
Aug-15,684,Information Management  Team Leader,Northern Ireland,Data Protection Advice
Aug-15,685,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,686,Information Architect  ,Wales,FEDS
Aug-15,687,Information Architect  ,Finance & Strategic Planning,Email
Aug-15,688,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,689,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,690,Information Management  Team Leader,Human Resources,Data Protection Advice
Aug-15,691,Information Management  Team Leader,Operations ,Data Protection Advice
Aug-15,692,Information Architect  ,Finance & Strategic Planning,Email
Aug-15,693,Information Architect  ,Science & Policy,Wisdom
Aug-15,694,Information Architect  ,Private Office,Wisdom
Aug-15,695,Information Architect  ,Science & Policy,Wisdom
Aug-15,696,Information Architect  ,Northern Ireland,Wisdom
Aug-15,697,Information Architect  ,Operations ,FEDS
Aug-15,698,Information Architect  ,Science & Policy,Wisdom
Aug-15,699,Information Management  Team Leader,Science & Policy,Data Protection Advice
Aug-15,700,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,701,Information Management  Team Leader,Private Office,Data Protection Advice
Aug-15,702,Information Architect  ,Science & Policy,Wisdom
Aug-15,703,Information Architect  ,Science & Policy,Wisdom
Aug-15,704,Information Management  Team Leader,External - Other Government Dept,Records Mngt Advice
Aug-15,705,Information Architect  ,Private Office,Wisdom
Aug-15,706,Information Management  Team Leader,Operations ,Email
Aug-15,707,Information Management  Team Leader,Communications,Data Protection Advice
Aug-15,708,Information Architect  ,Wales,Wisdom
Aug-15,709,Information Architect  ,Science & Policy,Wisdom
Aug-15,710,Information Architect  ,Wales,Wisdom
Aug-15,711,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,712,Information Architect  ,Wales,Wisdom
Aug-15,713,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Aug-15,714,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Aug-15,715,Information Architect  ,Finance & Strategic Planning,Wisdom
Aug-15,716,Information Architect  ,Private Office,Wisdom
Aug-15,717,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,718,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Sep-15,719,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,720,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Aug-15,721,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,722,Information Architect  ,Science & Policy,Wisdom
Sep-15,723,Information Architect  ,Science & Policy,Wisdom
Sep-15,724,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,725,Information Management  Team Leader,Operations ,Data Sharing
Sep-15,726,Information Architect  ,Science & Policy,Wisdom
Sep-15,727,Information Governance Caseworker ,Private Office,Data Protection Advice
Sep-15,728,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,729,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,730,Information Architect  ,Science & Policy,Wisdom
Sep-15,731,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,732,Information Architect  ,Science & Policy,Wisdom
Sep-15,733,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,734,Information Architect  ,Operations ,Wisdom
Sep-15,735,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,736,Information Architect  ,Science & Policy,Wisdom
Sep-15,737,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,738,Information Architect  ,Science & Policy,Wisdom
Sep-15,739,Information Architect  ,Science & Policy,Wisdom
Sep-15,740,Information Governance Caseworker ,Operations ,Wisdom
Sep-15,741,Information Governance Caseworker ,Finance & Strategic Planning,Data Protection Advice
Sep-15,742,Information Management  Team Leader,Operations ,Wisdom
Sep-15,743,Information Management  Team Leader,Finance & Strategic Planning,Wisdom
Sep-15,744,Information Governance Caseworker ,External - FSA Contractor,Data Protection Advice
Sep-15,745,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,746,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,747,Information Architect  ,Private Office,Wisdom
Sep-15,748,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,749,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Sep-15,750,Information Architect  ,Openness Data and Digital,Wisdom
Sep-15,751,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,752,Information Architect  ,Science & Policy,Wisdom
Sep-15,753,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,754,Information Architect  ,Openness Data and Digital,Wisdom
Sep-15,755,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,756,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,757,Information Architect  ,Science & Policy,Wisdom
Sep-15,758,Information Architect  ,Operations ,Wisdom
Sep-15,759,Information Governance Caseworker ,Operations ,Data Sharing
Sep-15,760,Information Governance Caseworker ,Openness Data and Digital,Data Sharing
Sep-15,761,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Sep-15,762,Information Architect  ,Operations ,Wisdom
Sep-15,763,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,764,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Sep-15,765,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,766,Information Governance Caseworker ,External - FSA Contractor,Records Mngt Advice
Sep-15,767,Information Management  Team Leader,Science & Policy,Data Protection Advice
Sep-15,768,Information Architect  ,Science & Policy,Wisdom
Sep-15,769,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,770,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,771,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,772,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,773,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,774,Information Architect  ,Openness Data and Digital,Wisdom
Sep-15,775,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,776,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,777,Information Architect  ,Science & Policy,Wisdom
Sep-15,778,Information Architect  ,Private Office,Wisdom
Sep-15,779,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,780,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,781,Information Architect  ,Finance & Strategic Planning,Wisdom
Sep-15,782,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,783,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,784,Information Architect  ,Science & Policy,Wisdom
Sep-15,785,Information Management  Team Leader,External - Other Government Dept,Data Protection Advice
Sep-15,786,Information Management  Team Leader,Science & Policy,Data Protection Advice
Oct-15,787,Information Architect  ,External - FSA Contractor,Network Drives
Oct-15,788,Information Management  Team Leader,Openness Data and Digital,Data Protection Advice
Oct-15,789,Information Architect  ,Operations ,Wisdom
Oct-15,790,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,791,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,792,Information Management  Team Leader,Science & Policy,Wisdom
Oct-15,793,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,794,Head of Information Knowledge Management,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Data Sharing
Oct-15,795,Head of Information Knowledge Management,Openness Data and Digital,Data Protection Advice
Oct-15,796,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,797,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Data Sharing
Oct-15,798,Information Architect  ,Science & Policy,Email
Oct-15,799,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,800,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,801,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Oct-15,802,Information Architect  ,Openness Data and Digital,Wisdom
Oct-15,803,Information Architect  ,Science & Policy,Wisdom
Oct-15,804,Information Architect  ,Science & Policy,Wisdom
Oct-15,805,Information Management  Team Leader,Science & Policy,Data Sharing
Oct-15,806,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Oct-15,807,Information Architect  ,Science & Policy,Wisdom
Oct-15,808,Information Management  Team Leader,Operations ,Email
Oct-15,809,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,810,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,811,Information Architect  ,Openness Data and Digital,Wisdom
Oct-15,812,Information Architect  ,Science & Policy,Wisdom
Oct-15,813,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,814,Information Management  Team Leader,Openness Data and Digital,Wisdom
Oct-15,815,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,816,Information Architect  ,External - FSA Contractor,Offsite Storage Issues
Oct-15,817,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,818,Information Management  Team Leader,Operations ,Data Sharing
Oct-15,819,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,820,Information Architect  ,Science & Policy,FEDS
Oct-15,821,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,822,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,823,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,824,Information Management  Team Leader,Operations ,Data Protection Advice
Oct-15,825,Information  Governance Manager Temp,Private Office,Data Protection Advice
Oct-15,826,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,827,Information Management  Team Leader,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Email
Oct-15,828,Information Management  Team Leader,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Sep-15,829,Information Management  Team Leader,Finance & Strategic Planning,Data Protection Advice
Oct-15,830,Information Architect  ,Operations ,Wisdom
Oct-15,831,Information Architect  ,External - FSA Contractor,Sharepoint Sites
Oct-15,832,Information Governance Caseworker ,Operations ,Data Sharing
Oct-15,833,Information Management  Team Leader,Operations ,Data Protection Advice
Oct-15,834,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,835,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Oct-15,836,Information Architect  ,Operations ,Wisdom
Oct-15,837,Information Management  Team Leader,Operations ,Data Sharing
Oct-15,838,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,839,Information Management  Team Leader,External - FSA Contractor,Network Drives
Oct-15,840,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,841,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,842,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,843,Information Architect  ,Operations ,Wisdom
Oct-15,844,Information Architect  ,Science & Policy,Wisdom
Oct-15,845,Information Architect  ,Science & Policy,Wisdom
Oct-15,846,Information Architect  ,Openness Data and Digital,Wisdom
Oct-15,847,Information Architect  ,Openness Data and Digital,Wisdom
Oct-15,848,Information Architect  ,Science & Policy,Wisdom
Oct-15,849,Information Architect  ,Operations ,Wisdom
Oct-15,850,Information Architect  ,Operations ,Wisdom
Oct-15,851,Information Architect  ,Regulatory & Legal Strategy,Wisdom
Oct-15,852,Information Architect  ,Finance & Strategic Planning,Wisdom
Oct-15,853,Information Architect  ,Openness Data and Digital,Wisdom
Oct-15,854,Information Architect  ,Science & Policy,Wisdom
Oct-15,855,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,856,Information Management  Team Leader,Openness Data and Digital,Data Protection Advice
Oct-15,857,Information Architect  ,Wales & Local Delivery??????????????????????????????????????????????????????????????? ,Wisdom
Oct-15,858,Information Architect  ,Science & Policy,Wisdom
Nov-15,859,Information Architect  ,Science & Policy,Email
Nov-15,860,Information Architect  ,Finance & Strategic Planning,Wisdom
Nov-15,861,Information Architect  ,Private Office,Wisdom
Nov-15,862,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Sep-15,863,Information Governance Caseworker ,Science & Policy,Data Sharing
Nov-15,864,Information Management  Team Leader,Operations ,Email
Nov-15,865,Information Architect  ,Northern Ireland? & Organisational Development??????????????????????????????????????????????????? ,Wisdom
Nov-15,866,Information Architect  ,Finance & Strategic Planning,Email
Nov-15,867,Information Architect  ,Science & Policy,Wisdom
Nov-15,868,Information Architect  ,Operations ,Wisdom
Nov-15,869,Information Management  Team Leader,Science & Policy,Email
Oct-15,870,Information Architect  ,Science & Policy,Email
Nov-15,871,Information  Governance Manager Temp,Openness Data and Digital,Data Protection Advice
Nov-15,872,Information Architect  ,Finance & Strategic Planning,Wisdom
